N,fix_prob,fix_error
5,0.256,0.027601739075645216
10,0.153,0.022767608570071648
15,0.13,0.02126969675383267
20,0.122,0.02069937197114927
25,0.09,0.018099723754798028
30,0.102,0.019141159839466362
35,0.084,0.01754354582175451
40,0.109,0.01970979451947686
45,0.108,0.01963018084481139
50,0.084,0.01754354582175451
55,0.091,0.018189997251236736
60,0.087,0.01782481416452918
65,0.091,0.018189997251236736
70,0.094,0.018456868640156703
75,0.098,0.018803829397226513
80,0.076,0.01675995226723513
85,0.1,0.018973665961010275
90,0.084,0.01754354582175451
95,0.091,0.018189997251236736
100,0.084,0.01754354582175451
