time2fix,pop_size,fitness
178.0,10,1.1
30.0,10,1.1
126.0,10,1.1
22.0,10,1.1
192.0,10,1.1
59.0,10,1.1
13.0,10,1.1
74.0,10,1.1
60.0,10,1.1
127.0,10,1.1
79.0,10,1.1
116.0,10,1.1
39.0,10,1.1
37.0,10,1.1
87.0,10,1.1
33.0,10,1.1
143.0,10,1.1
76.0,10,1.1
82.0,10,1.1
14.0,10,1.1
25.0,10,1.1
18.0,10,1.1
32.0,10,1.1
12.0,10,1.1
18.0,10,1.1
27.0,10,1.1
159.0,10,1.1
42.0,10,1.1
14.0,10,1.1
27.0,10,1.1
22.0,10,1.1
59.0,10,1.1
51.0,10,1.1
72.0,10,1.1
35.0,10,1.1
66.0,10,1.1
44.0,10,1.1
97.0,10,1.1
46.0,10,1.1
93.0,10,1.1
158.0,10,1.1
37.0,10,1.1
57.0,10,1.1
59.0,10,1.1
82.0,10,1.1
117.0,10,1.1
64.0,10,1.1
112.0,10,1.1
134.0,10,1.1
48.0,10,1.1
29.0,10,1.1
53.0,10,1.1
86.0,10,1.1
49.0,10,1.1
138.0,10,1.1
17.0,10,1.1
87.0,10,1.1
34.0,10,1.1
22.0,10,1.1
129.0,10,1.1
59.0,10,1.1
74.0,10,1.1
58.0,10,1.1
41.0,10,1.1
88.0,10,1.1
51.0,10,1.1
30.0,10,1.1
30.0,10,1.1
56.0,10,1.1
23.0,10,1.1
45.0,10,1.1
42.0,10,1.1
119.0,10,1.1
169.0,10,1.1
85.0,10,1.1
11.0,10,1.1
60.0,10,1.1
170.0,10,1.1
119.0,10,1.1
73.0,10,1.1
80.0,10,1.1
204.0,10,1.1
56.0,10,1.1
54.0,10,1.1
23.0,10,1.1
82.0,10,1.1
49.0,10,1.1
60.0,10,1.1
60.0,10,1.1
13.0,10,1.1
50.0,10,1.1
17.0,10,1.1
39.0,10,1.1
13.0,10,1.1
47.0,10,1.1
11.0,10,1.1
63.0,10,1.1
124.0,10,1.1
28.0,10,1.1
13.0,10,1.1
75.0,10,1.1
31.0,10,1.1
43.0,10,1.1
41.0,10,1.1
11.0,10,1.1
75.0,10,1.1
116.0,10,1.1
74.0,10,1.1
23.0,10,1.1
37.0,10,1.1
70.0,10,1.1
37.0,10,1.1
62.0,10,1.1
36.0,10,1.1
55.0,10,1.1
18.0,10,1.1
65.0,10,1.1
116.0,10,1.1
28.0,10,1.1
76.0,10,1.1
64.0,10,1.1
19.0,10,1.1
93.0,10,1.1
158.0,10,1.1
92.0,10,1.1
36.0,10,1.1
90.0,10,1.1
126.0,10,1.1
57.0,10,1.1
80.0,10,1.1
34.0,10,1.1
37.0,10,1.1
66.0,10,1.1
53.0,10,1.1
134.0,10,1.1
89.0,10,1.1
24.0,10,1.1
86.0,10,1.1
72.0,10,1.1
50.0,10,1.1
26.0,10,1.1
203.0,10,1.1
48.0,10,1.1
31.0,10,1.1
84.0,10,1.1
86.0,10,1.1
80.0,10,1.1
66.0,10,1.1
15.0,10,1.1
144.0,10,1.1
50.0,10,1.1
135.0,10,1.1
76.0,10,1.1
31.0,10,1.1
16.0,10,1.1
11.0,10,1.1
55.0,10,1.1
21.0,10,1.1
69.0,10,1.1
162.0,10,1.1
81.0,10,1.1
22.0,10,1.1
60.0,10,1.1
135.0,10,1.1
167.0,10,1.1
66.0,10,1.1
43.0,10,1.1
18.0,10,1.1
82.0,10,1.1
27.0,10,1.1
62.0,10,1.1
62.0,10,1.1
53.0,10,1.1
115.0,10,1.1
33.0,10,1.1
178.0,10,1.1
12.0,10,1.1
90.0,10,1.1
75.0,10,1.1
32.0,10,1.1
154.0,10,1.1
38.0,10,1.1
63.0,10,1.1
270.0,10,1.1
48.0,10,1.1
61.0,10,1.1
17.0,10,1.1
14.0,10,1.1
128.0,10,1.1
39.0,10,1.1
38.0,10,1.1
84.0,10,1.1
69.0,10,1.1
42.0,10,1.1
45.0,10,1.1
40.0,10,1.1
31.0,10,1.1
118.0,10,1.1
84.0,10,1.1
35.0,10,1.1
33.0,10,1.1
77.0,10,1.1
80.0,10,1.1
56.0,10,1.1
82.0,10,1.1
140.0,10,1.1
44.0,10,1.1
39.0,10,1.1
23.0,10,1.1
22.0,10,1.1
48.0,10,1.1
56.0,10,1.1
48.0,10,1.1
41.0,10,1.1
42.0,10,1.1
28.0,10,1.1
82.0,10,1.1
29.0,10,1.1
89.0,10,1.1
64.0,10,1.1
59.0,10,1.1
138.0,10,1.1
94.0,10,1.1
17.0,10,1.1
44.0,10,1.1
31.0,10,1.1
60.0,10,1.1
75.0,10,1.1
52.0,10,1.1
22.0,10,1.1
59.0,10,1.1
191.0,10,1.1
25.0,10,1.1
66.0,10,1.1
133.0,10,1.1
91.0,10,1.1
177.0,10,1.1
13.0,10,1.1
66.0,10,1.1
29.0,10,1.1
9.0,10,1.1
20.0,10,1.1
63.0,10,1.1
23.0,10,1.1
25.0,10,1.1
18.0,10,1.1
39.0,10,1.1
59.0,10,1.1
278.0,10,1.1
16.0,10,1.1
46.0,10,1.1
116.0,10,1.1
13.0,10,1.1
99.0,10,1.1
35.0,10,1.1
61.0,10,1.1
44.0,10,1.1
50.0,10,1.1
22.0,10,1.1
17.0,10,1.1
13.0,10,1.1
68.0,10,1.1
99.0,10,1.1
37.0,10,1.1
57.0,10,1.1
102.0,10,1.1
117.0,10,1.1
116.0,10,1.1
62.0,10,1.1
18.0,10,1.1
30.0,10,1.1
81.0,10,1.1
39.0,10,1.1
29.0,10,1.1
86.0,10,1.1
15.0,10,1.1
33.0,10,1.1
66.0,10,1.1
16.0,10,1.1
255.0,10,1.1
27.0,10,1.1
29.0,10,1.1
86.0,10,1.1
34.0,10,1.1
14.0,10,1.1
136.0,10,1.1
71.0,10,1.1
91.0,10,1.1
48.0,10,1.1
60.0,10,1.1
122.0,10,1.1
18.0,10,1.1
16.0,10,1.1
70.0,10,1.1
37.0,10,1.1
12.0,10,1.1
13.0,10,1.1
128.0,10,1.1
47.0,10,1.1
61.0,10,1.1
213.0,10,1.1
21.0,10,1.1
25.0,10,1.1
17.0,10,1.1
94.0,10,1.1
167.0,10,1.1
130.0,10,1.1
41.0,10,1.1
64.0,10,1.1
90.0,10,1.1
24.0,10,1.1
124.0,10,1.1
52.0,10,1.1
69.0,10,1.1
72.0,10,1.1
81.0,10,1.1
168.0,10,1.1
53.0,10,1.1
40.0,10,1.1
34.0,10,1.1
8.0,10,1.1
32.0,10,1.1
16.0,10,1.1
13.0,10,1.1
118.0,10,1.1
102.0,10,1.1
40.0,10,1.1
17.0,10,1.1
20.0,10,1.1
61.0,10,1.1
56.0,10,1.1
131.0,10,1.1
15.0,10,1.1
21.0,10,1.1
210.0,10,1.1
131.0,10,1.1
32.0,10,1.1
34.0,10,1.1
23.0,10,1.1
21.0,10,1.1
32.0,10,1.1
72.0,10,1.1
66.0,10,1.1
127.0,10,1.1
19.0,10,1.1
26.0,10,1.1
121.0,10,1.1
44.0,10,1.1
28.0,10,1.1
59.0,10,1.1
81.0,10,1.1
19.0,10,1.1
23.0,10,1.1
53.0,10,1.1
38.0,10,1.1
39.0,10,1.1
32.0,10,1.1
54.0,10,1.1
77.0,10,1.1
111.0,10,1.1
76.0,10,1.1
20.0,10,1.1
134.0,10,1.1
54.0,10,1.1
68.0,10,1.1
26.0,10,1.1
19.0,10,1.1
29.0,10,1.1
72.0,10,1.1
113.0,10,1.1
42.0,10,1.1
18.0,10,1.1
20.0,10,1.1
25.0,10,1.1
28.0,10,1.1
52.0,10,1.1
22.0,10,1.1
65.0,10,1.1
96.0,10,1.1
68.0,10,1.1
47.0,10,1.1
46.0,10,1.1
132.0,10,1.1
25.0,10,1.1
52.0,10,1.1
202.0,10,1.1
70.0,10,1.1
45.0,10,1.1
31.0,10,1.1
130.0,10,1.1
26.0,10,1.1
22.0,10,1.1
70.0,10,1.1
33.0,10,1.1
44.0,10,1.1
120.0,10,1.1
13.0,10,1.1
29.0,10,1.1
217.0,10,1.1
78.0,10,1.1
27.0,10,1.1
55.0,10,1.1
52.0,10,1.1
102.0,10,1.1
100.0,10,1.1
147.0,10,1.1
19.0,10,1.1
25.0,10,1.1
103.0,10,1.1
98.0,10,1.1
113.0,10,1.1
58.0,10,1.1
33.0,10,1.1
27.0,10,1.1
53.0,10,1.1
78.0,10,1.1
47.0,10,1.1
64.0,10,1.1
107.0,10,1.1
51.0,10,1.1
53.0,10,1.1
41.0,10,1.1
28.0,10,1.1
69.0,10,1.1
14.0,10,1.1
59.0,10,1.1
51.0,10,1.1
26.0,10,1.1
28.0,10,1.1
94.0,10,1.1
11.0,10,1.1
20.0,10,1.1
125.0,10,1.1
81.0,10,1.1
128.0,10,1.1
193.0,10,1.1
188.0,10,1.1
178.0,10,1.1
35.0,10,1.1
26.0,10,1.1
19.0,10,1.1
149.0,10,1.1
12.0,10,1.1
17.0,10,1.1
106.0,10,1.1
81.0,10,1.1
30.0,10,1.1
156.0,10,1.1
34.0,10,1.1
99.0,10,1.1
66.0,10,1.1
43.0,10,1.1
160.0,10,1.1
161.0,10,1.1
10.0,10,1.1
14.0,10,1.1
175.0,10,1.1
110.0,10,1.1
34.0,10,1.1
61.0,10,1.1
35.0,10,1.1
30.0,10,1.1
67.0,10,1.1
42.0,10,1.1
39.0,10,1.1
38.0,10,1.1
68.0,10,1.1
30.0,10,1.1
50.0,10,1.1
19.0,10,1.1
212.0,10,1.1
